           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;84.72;"KEP. BANGKA BELITUNG"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;95.72;"KEP. RIAU"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;95.4;"DKI JAKARTA"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;89.29;"JAWA BARAT"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;90.02;"JAWA TENGAH"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;97.06;"DI YOGYAKARTA"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;90.47;"JAWA TIMUR"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;92.65;BANTEN
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;94.15;BALI
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;95.39;"NUSA TENGGARA BARAT"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;83.25;"NUSA TENGGARA TIMUR"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;81.82;"KALIMANTAN BARAT"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;87.79;"KALIMANTAN TENGAH"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;87.95;"KALIMANTAN SELATAN"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;95.32;"KALIMANTAN TIMUR"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;90.55;"KALIMANTAN UTARA"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;91.98;"SULAWESI UTARA"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;88.9;"SULAWESI TENGAH"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;90.55;"SULAWESI SELATAN"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;91.19;"SULAWESI TENGGARA"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;80.56;GORONTALO
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;84.14;"SULAWESI BARAT"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;93.65;MALUKU
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;94.92;"MALUKU UTARA"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;87.03;"PAPUA BARAT"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;66.16;PAPUA
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SMP / Sederajat";2022;Tahun;90.13;INDONESIA
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;99.45;ACEH
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;98.74;"SUMATERA UTARA"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;97.87;"SUMATERA BARAT"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;98.2;RIAU
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;97.62;JAMBI
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;97.53;"SUMATERA SELATAN"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;97.65;BENGKULU
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;98.41;LAMPUNG
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;96.45;"KEP. BANGKA BELITUNG"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;98.38;"KEP. RIAU"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;98.58;"DKI JAKARTA"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;99.08;"JAWA BARAT"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;98.01;"JAWA TENGAH"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;98.91;"DI YOGYAKARTA"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;98.71;"JAWA TIMUR"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;97.24;BANTEN
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;97.55;BALI
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;98.47;"NUSA TENGGARA BARAT"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;92.35;"NUSA TENGGARA TIMUR"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;95.13;"KALIMANTAN BARAT"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;98.51;"KALIMANTAN TENGAH"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;94.68;"KALIMANTAN SELATAN"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;99.18;"KALIMANTAN TIMUR"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;96.94;"KALIMANTAN UTARA"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;96.74;"SULAWESI UTARA"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;97.19;"SULAWESI TENGAH"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;98.05;"SULAWESI SELATAN"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;97.24;"SULAWESI TENGGARA"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;95.12;GORONTALO
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;97.15;"SULAWESI BARAT"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;98.98;MALUKU
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;97.72;"MALUKU UTARA"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;93.94;"PAPUA BARAT"
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;81.99;PAPUA
"Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi";"SD / Sederajat";2022;Tahun;97.82;INDONESIA
